feedback,aspect,sentiment
dễ hiểu cuốn hút thú vị hấp dẫn,2,Positive
giảng viên chủ động tương tác với học viên trong giờ học nhiệt tình và có trách nhiệm với học viên,2,Positive
bài tập phù hợp,1,Positive
thiết bị hiện đại phòng học thoải mái,3,Positive
cô có chuẩn bị đầy đủ tài liệu,1,Positive
cô bám bám sát nội dung môn học trong từng phần chương bài khoa học rõ ràng chuyên nghiệp cập nhật kiến thức mới cách làm mới cho sinh viên,1,Positive
cô đưa ra rất nhiều ví dụ về kinh nghiệm đi thi ielts hoặc thi bài cuối kỳ tại trường,2,Positive
cô sử dụng các ứng dụng hoặc trang web tiếng anh để làm bài quizz hoặc chơi trò chơi giúp cho sinh viên hiểu bài nhớ từ vựng và dễ học thuộc ngữ pháp nhiều hơn cách giảng dạy thông thường khác,2,Positive
cô luôn nhiệt tình hỗ trợ sinh viên khi khó khăn trong quá trình học tập cô có nụ cười đẹp cô thuộc tuýp người luôn luôn lắng nghe và luôn luôn thấu hiểu,2,Positive
số lượng bài tập cô cho vừa đủ không quá tải,1,Positive
cách chấm điểm của cô rất công bằng có đi học có làm bài là có điểm còn cao hay thấp là tuỳ vào sự nổ lực của sinh viên tụi em nữa,2,Positive
cô luôn đi đúng giờ không bao giờ bỏ lớp,2,Positive
dạy ở vlu cái gì cô cũng được cấp hết nên em nghĩ cô có đủ ahihi,3,Positive
dạ khum có,4,Neutral
giàu kinh nghiệm,2,Positive
phương pháp tốt,2,Positive
thích môn học này,4,Positive
có đầy đủ tài liệu,1,Positive
rất chuẩn lunnn ạ,1,Positive
có rất nhiều kinh nghiệm,2,Positive
phương pháp dạy okiii,2,Positive
vừa sức ạ,1,Positive
thực hiện qui chế rất tốt ạ,2,Positive
thiết bị dạy học hiện đại tốt,3,Positive
khộng ạ,4,Neutral
thầy cô chuẩn bị tài liệu đầy đủ,1,Positive
thầy cô bám sát từng nội dung học,1,Positive
thầy cô chủ động tương tác,2,Positive
bình thường phù hợp,1,Neutral
8 10,2,Neutral
thực hiện tốt,2,Positive
ok,1,Positive
cô bám bám sát nội dung môn học trong từng phần chương bà,1,Positive
kinh nghiệm dồi dò,2,Positive
ok,2,Positive
cung cấp đủ đề cương chi tiết,1,Positive
đủ tốt,3,Positive
đủ giáo án,1,Positive
quá nhiều,2,Negative
lúc dễ hiểu lúc không dể hiểu,2,Negative
không ạ,1,Neutral
xịn xò con bò,3,Positive
pháp pháp hay,2,Positive
bài tập dễ,1,Positive
anh văn là môn tốt cho mọi người,4,Positive
đầy đủ nhưng em cảm thấy không hiệu quả,1,Negative
nội dung giảng còn khô khan không thực tế,1,Negative
em thấy không có nhiều bài học thực tế,2,Negative
không sinh động khô khan,2,Positive
bình thường,2,Neutral
bài tập không liên quan đến nội dung học cho lắm,1,Negative
5 10,2,Neutral
mong là trường cãi thiện môn tư duy phản biện em cảm thấy rất thích môn học này nhưng phương pháp giảng dạy còn quá khô khan và lí thuyết khá nhiều không có không gian áp dụng thực tiễn,4,Negative
có đủ kinh nghiệm giảng dạy,2,Positive
thầy cô dạy quá nhanh và khó hiểu bài,2,Negative
thang chấm điểm rõ ràng,2,Positive
giảng viên dạy chậm lại,4,Negative
thầy cô chuẩn bị đầy đủ có chèn nhiều trò chơi,1,Positive
đầy đủ chi tiết theo học phần,1,Positive
dễ hiểu hấp dẫn khi cộng điểm lúc giơ tay phát biểu,2,Positive
thầy cô tương tác tốt với em,2,Positive
bài tập vừa đủ,1,Positive
thầy cô luôn đúng giờ hoặc sớm hơn nhiều,2,Positive
tất cả đều hiện đại mới,3,Positive
đầy đủ học liệu,1,Positive
nội dung dạy rất tốt ạ,1,Positive
kinh nghiệm giảng dạy okii ạ,2,Positive
phương pháp dạy rất tốt,2,Positive
dạy dễ hiểu thân thiện,2,Positive
thực hiện quy chế tốt ạ,2,Positive
hiện đại tốt,3,Positive
không ạ,4,Neutral
giáo viên cung cấp đầy đủ đề cương chi tiết giáo trình bài giảng tài liệu tham khảo,1,Positive
giáo viên bám bám sát nội dung môn học trong từng phần chương bài,1,Positive
thạc sĩ,2,Neutral
giáo viên dạy chậm dễ hiểu đúng tiến độ,2,Positive
giáo viên có tương tác với học viên có trách nhiệm,2,Positive
giáo viên dạy và tan lớp đúng giờ,2,Positive
thiết bị tốt tiên tiến hiện đại,3,Positive
sát với bài,1,Positive
nhiều kinh nghiệm lắm,2,Positive
cổ điển,2,Neutral
vừa đủ,2,Neutral
bám sát nội dung dạy,1,Positive
kinh nghiệm dồi dào,2,Positive
đồng ý ạ,1,Positive
rất tích cực ạ,2,Positive
giáo trình và tài liệu được chuẩn bị chỉnh chu,1,Positive
thầy cô truyền tải nội dung dễ hiểu đi đúng trọng tâm kiến thức,1,Positive
kinh nghiệm dày dặn,2,Positive
dễ hiểu đúng tiến độ,2,Positive
thầy cô nhiệt tình và có trách nhiệm với học viên,2,Positive
cũng cấp điểm đầy đủ,2,Positive
thầy cô dạy đúng giờ,2,Positive
thiết bị học ổn định,3,Positive
dễ hiểu,1,Positive
nhẹ nhàng thân thiết,2,Positive
bài tập trong ngày áp dụng cô sửa,1,Neutral
9,2,Neutral
dô cực kì đúng giờ lệch 1p là trễ rồi,2,Positive
thầy cô bám sát nội dung môn học trong từng phần chương bài khoa học rõ ràng chuyên nghiệp cập nhật kiến thức mới cách làm mới cho học viên,1,Positive
kinh nghiệm giảng dạy của thầy cô nhiều và chuyên nghiệp,2,Positive
thầy cô chủ động tương tác với học viên trong giờ học thầy cô nhiệt tình và có trách nhiệm với học viên,2,Positive
thầy cô cho đầy đủ bài tập để làm gồm 9 bài word và 9 bài excel để vừa học vừa thực hành,1,Positive
thầy cô chấm điểm đúng và công bằng cho sinh viên thầy cô có điểm danh đầy đủ trong quá trình học,2,Positive
phòng học rộng rãi đèn nhiều và rất sáng máy tính hiện đại máy lạnh rất mát,3,Positive
vui vẻ dễ thương,2,Positive
hợp lý,2,Positive
học thêm anh văn 6 do cô dạy,4,Positive
dày dặn,2,Positive
tác phong giảng dạy tốt,2,Positive
hành xử đúng mực,2,Positive
bám sát nội dung buổi học,1,Positive
chấp hành,2,Neutral
thiết bị loa bị rè và quạt trần quay cà giựt muốn rớt,3,Negative
no comments,4,Neutral
không quá thách thức,1,Neutral
du di,2,Neutral
tân tiến,3,Neutral
giúp sinh viên critical thinking tốt,2,Positive
cô dạy chậm dễ hiểu đúng tiến độ của tkb,2,Positive
bài tập đa dạng hay,1,Positive
chấm điểm công tâm,2,Positive
chất lượng ổn định,3,Positive
được,2,Positive
có bài tập,1,Neutral
được,3,Neutral
nhiệt tình giảng dạy truyền đạt dễ hiểu,1,Positive
bám sát kiến thức trong từng phần,1,Positive
nhiều năm kinh nghiệm,2,Positive
nhiệt tình có trách nhiệm với học sinh,2,Positive
đủ cho sinh viên hiểu về kiến thức,1,Positive
lên lớp đúng giờ,2,Positive
tâm huyết với nghề nhiệt tình giảng dạy luôn mong muốn điều tốt đối với sinh viên,4,Positive
ổn,4,Positive
có slide đầy đủ,1,Positive
thầy nhiệt tình nhưng giảng hơi nhiều,1,Positive
thân thiện với học sinh,2,Positive
vừa đủ nhưng khó điểm thấp,1,Positive
minh bạch rõ ràng,2,Positive
đúng giờ tuyệt,2,Positive
kho học rõ ràng,1,Positive
bài tập nhẹ,1,Positive
chấm khá dễ,2,Positive
đúng thời khoá biểu,2,Positive
tất cả các yếu tố trên,1,Neutral
cần rõ ràng,1,Negative
cần tâm chú hơn,2,Negative
tương tác nhiều hơn,2,Negative
cần zui zẽ,2,Negative
không cần,1,Neutral
sơ lược là được,2,Neutral
máy tính,3,Neutral
thầy cô luôn cung cấp đầy đủ tài liệu trước buổi học,1,Positive
nội dung và cách giảng dạy thu hút dễ tiếp thu,1,Positive
dễ hiểu sinh động giúp sinh viên tư duy,2,Positive
thầy cô tương tác tốt với học sinh,2,Positive
ra bề đúng giờ,2,Positive
trang thiết bị hiện đại,3,Positive
ổn ạ,1,Positive
nhiều ạ,2,Neutral
dễ hiểu có cho các bạn làm bài nhóm tại lớp,2,Positive
thầy cô tương tác nhiều,2,Positive
7 10,2,Neutral
thầy cô cung cấp đầy đủ đề cương,1,Positive
dễ hiểu tận tình,2,Positive
lượng bài tập ổn,1,Positive
cô cho ra vào lớp đúng giờ,2,Positive
thiết bị giảng dạy tốt,3,Positive
đúng ạ,1,Neutral
đúng ạ,2,Neutral
số lượng vừa phải đủ kiến thức đã học,1,Positive
có tính minh bạch đúng với thực lực,2,Positive
cần có sự tiên tiến nâng cấp,3,Positive
bài tập vừa đủ sức sinh viên,1,Positive
thiết bị hiện đại phù hợp môn học,3,Positive
bài giảng hay,1,Positive
phương pháp dạy tốt,2,Positive
dễ,1,Neutral
không có,3,Neutral
thầy chủ động tương tác với học viên trong giờ học thầy không chủ động tương tác với học viên trong giờ học thầy cô nhiệt tình và có trách nhiệm với học viên,2,Positive
bài tập bám sát nội dung học số lượng vừa phải,1,Positive
cô bám bám sát nội dung môn học trong từng phần chương bài khoa học rõ ràng chuyên nghiệp cập nhật kiến thức mới cách làm mới cho học viên,1,Positive
cô nhiệt tình và có trách nhiệm với học viên,2,Positive
có cách giảng dạy hay,1,Positive
thiết bị trường ổn,3,Positive
có đầy đủ,1,Positive
bám sát nội dung nhưng học qua ms team rất nhàm chán học 3 tiếng liên tục thiết bị lag luôn,1,Negative
cô là thạc sĩ nên rất giỏi giọng hay,2,Positive
dễ hiểu ổn,2,Positive
cô rất chủ động,2,Positive
quá khó luôn em làm dưới 5đ,1,Negative
cô cung cấp đầy đủ đề cương chi tiết,1,Positive
cô bám sát nội dung môn học trong từng phần,1,Positive
biết nhiều kiến thức mới và hay,2,Positive
cô có thái độ thân thiện với học sinh,2,Positive
phù hợp với cách học tập sinh viên,1,Positive
thầy cô ra vào lớp đúng h,2,Positive
thầy cô đa số cung cấp đủ tài liệu học tập nhưng nhiều giảng viên không yêu cầu tài liệu giấy,1,Positive
nội dung giảng dạy nhiều môn chỉ áp sát vào giáo trình không liên quan thực tế nhiều,1,Negative
kinh nghiệm giảng nhiều nhưng nhiều giảng viên dạy không nhiệt tình,2,Negative
thái độ giảng viên đa số tốt thân thiện với sinh viên,2,Positive
nhiều giảng viên quan trọng bài tập,1,Negative
chấm điểm một chiều,2,Negative
giảng viên nên giảng dạy nhiệt tình nhiều giảng viên không chú ý đến sinh viên mà thường để sv tự thuyết trình rồi tự học,4,Negative
không tạo hứng thú học tập,2,Negative
không ghét,2,Neutral
ghét chấm vô duyên,2,Negative
ok có châm chước,2,Neutral
ok 10đ,3,Positive
giảng viên gì đâu chướng,4,Negative
bám sát nôin dung học,2,Positive
điểm tuyệt đối,2,Positive
ổn định,3,Positive
cung cấp đủ bài giảng,1,Positive
cô bám sát nội dung,1,Positive
cô thân thiện,2,Positive
bài tập không quá nhiều,1,Positive
cô chấm khá dễ,2,Positive
ra về đúng giờ,2,Positive
thầy cô chuẩn bị đầy đủ các giáo án nhưng các giáo án của từng giáo viên không được thống nhất dẫn đến việc kiến thức sinh viên được tiếp thu không đồng đều,1,Negative
một số thầy cô giảng dạy đúng nội dung và chi tiết nhưng có một số thầy cô bị giảng dạy theo lối mòn không đủ nội dung cần thiết,1,Negative
dễ hiểu sáng tạo phong phú,2,Positive
thầy cô nhiệt tình chủ động,2,Positive
nhiều lắm,1,Neutral
các thầy cô đi trễ thì không bị gì nhưng sinh viên đi trễ thì bị nhiều hình phạt,2,Negative
thầy cô cung cấp đầy đủ thông tin về môn học,1,Positive
thầy cô triển khai giảng dạy rõ ràng chuyên nghiệp,1,Positive
dễ hiểu hay tạo các trò chơi gắn kết các thành viên trong lớp,2,Positive
thầy cô chủ động tương tác với các học sinh lắng nghe ý kiến của tất cả các bạn học sinh và chia sẻ những kinh nghiệm vốn có,2,Positive
lượng bài tập vừa đủ,1,Positive
chấm điểm kĩ càng,2,Positive
thầy vào lớp đúng giờ giảng dạy đúng thời khoá biểu,2,Positive
bài giảng thú vị dễ hiểu,1,Positive
kinh nghiệm phong phú có chiều sâu,2,Positive
đúng tiến độ dễ hiếu,2,Positive
cô thân thiện với học viên khi học viên hỏi,2,Positive
bám sát bài giảng bổ trợ việc học,1,Positive
điểm đúng thực lực cho đ công tâm,2,Positive
dạy đúng giờ,2,Positive
em không chắc,2,Positive
đa số các bạn không hiểu nhiều lắm,2,Negative
tốt ạ,2,Positive
bám sát vừa đủ,1,Positive
6 10,2,Neutral
đi trễ kha khá,2,Negative
mong sẽ dễ hiểu hơn,4,Negative
đầy đủ,2,Neutral
được,1,Neutral
tốt thầy quay vlog rất thú vị,2,Positive
nhanh,2,Negative
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn thông tin cá nhân của thầy cô đến sinh viên,1,Positive
bài tập tương đối phù hợp với chương trình giảng dạy,1,Positive
điểm đủ qua môn,2,Positive
cô cung cấp đủ đầy cương,1,Positive
thầy cô tương tác với sinh viên,2,Positive
số lượng bài tập ổn,1,Positive
thầy cô cho ra vào lớp đúng giờ giảng dạy,2,Positive
năng động đáng iu,2,Positive
khum,2,Neutral
thầy rất deth và dang iu,4,Positive
giáo viên cung cấp tài liệu đầy đủ có phương hướng giảng dạy rõ ràng và hiệu quả,1,Positive
giáo viên giảng dạy chi tiết đầy đủ nội dung học tập và triển khai tốt cho sinh viên làm việc nhóm,1,Positive
gần gũi dễ hiểu sử dụng từ ngữ khoa học và thuyết phục,2,Positive
giáo viên lắng nghe ý kiến của sinh viên tạo không khí thoải mái khi học,2,Positive
lượng bài tập vừa phải không dễ nhưng cũng không quá khó,1,Positive
giáo viên thực hiện đúng quy định điểm danh đúng giờ và tan lớp đúng giờ,2,Positive
máy chiếu laptop phòng học,3,Neutral
đây đủ,1,Neutral
hay,1,Positive
hòa nhã,2,Positive
không ý kiến,1,Neutral
tài liệu đầy đủ,1,Positive
bài tập khá nhẹ,1,Positive
chấm điểm khá dễ,2,Positive
cô dạy đúng giờ,2,Positive
thầycung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn,1,Positive
thầy chủ động tương tác với học viên trong giờ học,2,Positive
thầy vào ra lớp đúng giờ thầy đi dạy trễ cho về sớm,2,Negative
có mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá rõ ràng,1,Positive
có đề cập vấn đề xã hội hiện tại vào bài,2,Positive
thầy nhiệt tình có giải đáp thắc mắc,2,Positive
thầy dạy đúng thời khoá biểu,2,Positive
đầy đủ dễ làm,1,Positive
vui vẻ sinh động,2,Positive
thầy dui tánh dễ tương tác vs sv,2,Positive
bình thường,1,Neutral
có lồng ghép kiến thức thực tiễn,2,Positive
bài tập nhiều,1,Positive
chấm điểm rõ ràng dễ hiểu,2,Positive
giảm bài tập lại,4,Positive
cô cung cấp đề cương đầy đủ,1,Positive
thầy cô bám sát nội dung môn học,1,Positive
thầy cô có tương tác với học sinh,2,Positive
thầy cô cho ra vào lớp đúng giờ,2,Positive
dễ hiểu ổn,1,Positive
đầy đủ thâm sâu,2,Positive
khá gắt,2,Negative
bình thường,3,Neutral
yes,1,Neutral
yes,2,Neutral
cũng được,2,Neutral
nghiêm,2,Negative
cũng dịu,1,Neutral
như cái qq,2,Negative
yes,3,Neutral
giảng viên rất phiền,4,Negative
có nhiều kinh nghiệm,2,Positive
thầy cô chưa tiếp thu ý kiến phản hồi của sinh viên,2,Negative
nhiều bài tập,1,Negative
chấm điểm chưa rõ ràng,2,Negative
thầy cô hay bỏ lớp để làm việc riêng,2,Negative
thiết bị hiện đại,3,Positive
chuẩn bị tư liệu cẩn thận đầy đủ,1,Positive
bài giảng dễ hiểu có đầu tư,1,Positive
có các video hình ảnh minh họa cụ thể từ thực tế,2,Positive
dạy đúng tiến độ không quá nhanh,2,Positive
tương tác vs sv,2,Positive
bài tập vừa sức tương ứng vs bài học,1,Positive
đúng quy chế nhà trường,2,Positive
tiên tiến hỗ trợ tốt việc hc,3,Positive
cô chuẩn bị bài kỹ và kết hợp với các trò chơi thú vị,1,Positive
cô dạy rất kỹ phần writing,1,Positive
nên dạy thêm về ngữ pháp,2,Positive
học với cô rất thú vị cô dễ thương nhiều trò chơi vui nhộn,2,Positive
cô vui vẻ dễ thương,2,Positive
bài tập kết hợp với trò chơi sau mỗi buổi học rất thú zị,1,Positive
hay mất kết nối với wifi và máy chiếu,3,Negative
cô công bố đầu đủ học liệu mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá,1,Positive
cô bám bám sát nội dung môn học trong từng phần trình bày dễ nhìn,1,Positive
cô có kinh nghiệm dày dặn,2,Positive
dễ hiểu sáng tạo trong dạy học,2,Positive
cô chủ động tương tác với học viên trong giờ học thầy cô không chủ động tương tác với học viên trong giờ học thầy cô nhiệt tình và có trách nhiệm với học viên,2,Negative
cô có hoạt động quan tâm trong quá ttrinh học tập,1,Positive
cô vào ra lớp đúng giờ thực hiện đúng theo thời khóa biểu,2,Positive
tài liệu đầy đủ chất lượng tài liệu ổn,1,Positive
chuyên nghiệp rõ ràng thoãi mái không áp lực,1,Positive
thoãi mái,2,Positive
điểm số phản ánh đúng với thực lực,2,Positive
lớp học ổn nhưng khá chật hay bị thiếu chổ ngồi mong sẽ cãi thiện phòng học to hơn,3,Negative
cô chuâ n bi va da y râ t nhiê u kiê n thư c bô i ch vê gia o tri nh va ta i liê u cu ng đươ c soa n râ t chi nh chu,1,Positive
cô ba m sa t nô i dung trong sa ch va gia o tri nh luôn câ p nhâ t,1,Positive
cô râ t hay đem như ng vi du thư c tiê n va o môn ho c giu p em dê hi nh dung va ghi nhơ tô t hơn,2,Positive
cô da y dê hiê u hay ta o như ng tro chơi vui nhô n đê kiê m tra kiê n thư c đa ho c,2,Positive
cô chủ động tương tác với học viên trong giờ học luôn nhiệt tình và có trách nhiệm,2,Positive
sô lươ ng ba i tâ p cho giao cu ng không qua nhiê u,1,Positive
không co y kiê n,2,Neutral
cô luôn đê n lơ p sơ m hơn sinh viên,2,Positive
không co y kiê n,3,Neutral
không co y kiê n,4,Neutral
thầy dạy bám sát nội dung,1,Positive
đưa nội dung thực tiễn lồng ghép vào bài giảng,2,Positive
dễ hiểu nhưng hơi nhanh,2,Negative
thầy thân thiện với sinh viên,2,Positive
số lượng dạy đầy đủ,1,Positive
chấm điểm cao,2,Positive
thầy ra vào lop đúng giờ,2,Positive
thiết bị giang day đầy đủ,3,Positive
dạy chậm hơn một tý để bọn e nắm bắt dễ dàng hơn,4,Negative
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn thông tin cá nhân của thầy cô đến sinh viên,2,Positive
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn thông tin cá nhân của thầy cô đến sinh viên,3,Positive
thầy cô cung cấp đầy đủ đề cương chi tiết mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá giáo trình bài giảng tài liệu tham khảo và cách thức tìm các tài liệu học tập của môn thông tin cá nhân của thầy cô đến sinh viên,4,Positive
khoa học rõ ràng chuyên nghiệp cập nhật kiến thức mới cách làm mới cho học viên,1,Positive
khoa học rõ ràng chuyên nghiệp cập nhật kiến thức mới cách làm mới cho học viên,2,Positive
khoa học rõ ràng chuyên nghiệp cập nhật kiến thức mới cách làm mới cho học viên,3,Positive
khoa học rõ ràng chuyên nghiệp cập nhật kiến thức mới cách làm mới cho học viên,4,Positive
giáo án,1,Neutral
nội dung giảng dạy khó hiểu,1,Negative
rất nhanh không cho sv làm lại dù trục trặc web,2,Negative
khó,1,Negative
trung bình,2,Negative
thầy cô cho nhiều bài tập thêm,1,Positive
thầy coi giảng kĩ,1,Positive
thầy cô giảng nhiệt tình,2,Positive
nhiều,1,Neutral
đúng với quy chế,2,Positive
bám bám sát nội dung môn học trong từng phần chương bài khoa học rõ ràng chuyên nghiệp cập nhật kiến thức mới cách làm mới cho học viên,1,Positive
dể hiểu hấp dẫn,2,Positive
các ý kiến đề cập đến bài tập số lượng bài tập và các loại bài tập của giảng viên,1,Neutral
rất tốt,2,Positive
rất tốt,4,Positive
cung cấp thông tin đầy đủ,1,Positive
bám sát nội dung học,1,Positive
có đưa kinh nghiệm thực tiễn vào bài học,2,Positive
quá nhanh,1,Negative
khó hiểu còn nhanh,2,Negative
nhiều cái rất khó,1,Negative
thầy cô dạy quá nhanh và khó hiểu bài để sinh viên tự học chỉ gửi clip tham khảo,2,Negative
thầy cô thân thiện với học viên khi học viên hỏi,2,Positive
tương đối không quá nhiều,1,Positive
tất cả đều có trong tài liệu,1,Neutral
thầy dạy rất kĩ và dễ hiểu,2,Positive
thầy dạy rất tích cực hay,2,Positive
trong lớp thì thầy dạy dễ hiểu số lượng 1 2 bài cho dễ hiểu,1,Positive
rất đầy đủ,3,Positive
chuẩn bị kĩ càng slide,1,Positive
bám sát bài lấy kiến thức bên ngoài truyền vào,1,Positive
có kinh nghiệm thực tiễn,2,Positive
dễ hiểu hấp dẫn nhiều ví dụ,2,Positive
thầy cô tương tác hoà đồng,2,Positive
ra vào đúng giờ,2,Positive
tiện nghi đầy đủ,3,Positive
mục tiêu học tập chung của môn học cách thức kiểm tra đánh giá,1,Positive
có chiều sâu,2,Positive
giúp hiểu lại bài,1,Positive
dễ hiểu kiến thức rộng,2,Positive
giảng viên tạo điều kiện cho sinh viên kiếm điểm,2,Positive
đầy đủ ít bị lỗi,3,Positive
giảng viên dễ thương tương tác nhiệt tình với sinh viên,4,Positive
cung cấp đủ đề cương,1,Positive
kinh nghiệm thực tiễn,2,Positive
tương tác với sinh viên,2,Positive
như trên ạ,1,Neutral
như trên ạ,2,Neutral
như trên,2,Neutral
đầy đủ tài liệu,1,Neutral
áp dụng kinh nghiệm thực tiễn,2,Positive
bài tập hợp lý,1,Positive
đầu đủ,3,Neutral
cô cung cấp đầy đủ học liệu,1,Positive
cô bám sát vào nội dung môn,1,Positive
cô chủ động tương tác với sinh viên,2,Positive
vừa đủ với sinh viên,1,Positive
thầy cô cung cấp đầy đủ đề cương giáo trình đầy đủ,1,Positive
thầy cô bám sát nội dung học thường xuyên cập nhật kiến thức mới cho sinh viên,1,Positive
kinh nghiệm giảng dạy của thầy cô tốt đề cập đến các vấn đề thực tiễn trong quá trình giảng day,2,Positive
thầy cô dạy dễ hiểu đúng tiến độ thường xuyên hỗ trợ sinh viên khi sinh viên gặp khó khăn,2,Positive
thầy cô tương tác thường xuyên với sinh viên trong quá trình giảng dạy,2,Positive
trong quá trình học tập giảng viên đưa ra lượng bài tập vừa đủ không quá nhiều không quá ít các bài tập đưa ra thì phong phú,1,Positive
trong quá trình học tập thầy cô chấm điểm công bằng,2,Positive
thầy cô ra vào lớp đúng giờ không ảnh hưởng đến các tiết học,2,Positive
phòng học có các trang thiết bị đầy đủ tiện nghị,3,Positive
không có ạ,4,Neutral
thầy cô đưa đầy đủ đề cương hướng dẫn kỹ,1,Positive
bám sát nội dung môn học trong từng buổi học,1,Positive
kinh nghiệm thực tiễn phong phú,2,Positive
dễ hiểu dễ thực hiện,2,Positive
vui vẻ nhiệt tình tận tâm,2,Positive
bài học vừa đủ phong phú,1,Positive
rõ ràng công khai,2,Positive
thiết bị bị chập điện ghế ngồi rất đau lưng,3,Negative
thay đổi ghế ngồi ổ cắm điện máy tính cũ,4,Negative
thầy cô cung cấp đủ giáo trình tài liệu và giới thiệu thêm các nguồn tài liệu khác,1,Positive
bám sát giáo trình giảng dạy rõ ràng dễ hiểu,1,Positive
kinh nghiệm rất giảng dạy rất tốt,2,Positive
dạy vừa phải dễ hiểu,2,Positive
thầy cô nhiệt tình thân thiện và rất có trách nhiệm trong công việc,2,Positive
bài tập đầy đủ và đa dạng bài,1,Positive
chấm điểm phù hợp với năng lực của sinh viên,2,Positive
thầy cô rất đúng giờ theo đúng thời khoá biểu,2,Positive
hoà bình,2,Neutral
9 điểm,2,Positive
good,1,Positive
good,2,Positive
good,3,Positive
thầy cô cũng cấp đầy đủ,1,Positive
bám sát vào sgk,1,Positive
dễ hiểu cho học sinh tích cực tham gia phát biểu,2,Positive
máy chiếu chá mắt không nhìn rõ,3,Negative
đầy đủ những điều cần thiết để giúp cho học sinh cảm thấy thích thú về môn cũng như ngành học,1,Positive
bám sát lý thuyết cả thực hành liên quan tới thực tế,1,Positive
phong phú dày dặn,2,Positive
hấp dẫn lôi cuốn,2,Positive
thân thiện giải đáp thắc mắc,2,Positive
vừa đủ để cân bằng thời gian,1,Positive
đúng quy tắc,2,Positive
hiện đại đầy đủ,3,Positive
không nắm rõ,2,Neutral
thầy dễ thương,2,Positive
ít đa số làm trên elearning,1,Negative
dạ rất đầy đủ và chi tiết ạ,1,Positive
dạ rất chuyên nghiệp và bổ ích ạ,1,Positive
rất chuyên nghiệp và sáng tạo ạ,2,Positive
rất hấp dẫn và bổ ích về mặt kiến thức,2,Positive
rất là tốt ạ,2,Positive
rất tuyệt vời ạ,1,Positive
rất công tâm ạ,2,Positive
rất hiện đại ạ,3,Positive
đa dạng,2,Positive
good,4,Positive
chủ động,2,Positive
ra vào lớp đúng giờ,2,Positive
sinh động nhưng khó hiểu,2,Negative
học quản trị nhưng bài tập toàn tiếng anh,1,Negative
giảng dạy đúng giờ,2,Positive
thầy cô cung cấp đầy đủ tài liệu giáo trình giáo án,1,Positive
thầy cô giảng dạy hiệu quả rõ ràng,1,Positive
chậm dễ hiểu,2,Positive
nhiệt huyết trách nhiệm,2,Positive
kinh nghiệm thực tế,2,Positive
dễ hiểu rõ ràng,2,Positive
hoà vình,2,Neutral
có trách nhiệm,2,Positive
thày cô cung cấp đầy đủ tài liệu,1,Positive
bám sát bài học,1,Positive
đưa ra nhiều ví dụ bổ ích,2,Positive
dễ hiểu và rất hấp dẫn,2,Positive
tương tác rất nhiều với sinh viên,2,Positive
đi dậy sớm,2,Positive
thầy cô công bố và chuẩn bị đầy đủ tài liệu cách thức kiểm tra đánh giá minh bạch,1,Positive
thầy cô bám sát nội dung và giải thích rõ ràng cho sinh viên hiểu,1,Positive
dễ hiểu có sự logic và chi tiết từng phần tạo hứng thú học tập,2,Positive
thầy cô tương tác tích cực với học viên trong giờ học nhiệt tình và có trách nghiệm,2,Positive
số lượng bài tập hơi nhiều,1,Negative
hệ thống chấm điểm của thầy cô minh bạch và tạo điều kiện để lấy,2,Positive
các trang thiết bị đều tốt,3,Positive
cô cung cấp đủ đề cương,1,Positive
giảng dạy tốt,2,Positive
dạy dễ hiểu hấp dẫn,2,Positive
có tương tác giữa thầy cô và học sinh,2,Positive
bài tập khó,1,Negative
chấm điểm khả quan,2,Positive
vào lớp đúng giờ,2,Positive
không có ạ,1,Neutral
lồng ghép cái video kiến thức liên quan đến bài học vào bài giảng,2,Positive
luôn tương tác với sinh viên,2,Positive
bài tập trên e quá nhiều,1,Negative
8đ,2,Positive
cô vào ra lớp rất đúng giờ,2,Positive
loa phòng hơi có vấn đề,3,Negative
giảng theo khuôn khổ giáo trình hơi nhàm chán,1,Negative
có cho ví dụ thực tế thực tiễn,2,Positive
dạy đúng tiến độ không nhanh chậm hơi khó hiểu,2,Negative
rất cởi mở hoà đồng vui tính,2,Positive
chủ yếu là bài tập nhóm,1,Neutral
rất đúng giờ,2,Positive
quá là tuyệt vời bám sát nội dung,2,Positive
10đ,1,Positive
10đ,2,Positive
kinh nghiệm tốt,2,Positive
